name,description ,location 
0031-0001-0112,"PK Controller System - Flow Reactor HMI-LUBRIZOL-Lubrizol CORP The, Wickliffe, OH, United States",needs added 
0031-0001-0179,"PK Controller - Training System HMI-LUBRIZOL-Lubrizol CORP The, Wickliffe, OH, United States",needs added 
0031-0001-0219,"PK Controller - Skid 2.0 HMI-LUBRIZOL-Lubrizol CORP The, Wickliffe, OH, United States",needs added 
0031-0001-0328,"Standalone PK Controller DeltaV - HMI-OPTIMA BELLE-Optima Belle, Belle, WV, United States",needs added 
0031-0001-0346,"#9 Tandem Mill - PK HMI-ARCELOR MITTAL-Arcelormittal, Park Weirton, WV, United States",needs added 
0031-0001-0418,"#9 Tandem Mill - PK HMI-ARCELOR MITTAL-Arcelormittal, Park Weirton, WV, United States",needs added 
0031-0001-0541,"Impossible Food Inc. - PK HMI-IMPOSSIBLE FOODS-Impossible Foods Inc, Redwood City, CA, United States",needs added 
0031-0001-0554,"Irvin - PK Standalone HMI-USS-USS CORP, WEST MIFFLIN, PA, United States",needs added 
,,
SI0001-0001-1778,"SYSTEM INTEGRATORS KEY-ROVISYS-Rovisys Company, Aurora, Ohio, United States",needs added 
SI0001-0001-9324,"ISI SYSTEM-MATRIX TECHNOLOGIES-MATRIX TECHNOLOGIES, INC., Maumee, Ohio, United States",needs added 
SI0001-0001-9459,"DEMO SYSTEM-PEPPERL & FUCHS-Pepperl & Fuchs, Inc., Twinsburg, Ohio, United States",needs added 
