name,description ,location 
0001-0002-1135,"DELTAV-ARBORIS-Arboris LLC, Newark, OH, United States",needs added 
0001-0002-1166,"Plant Controls-MOMENTIVE-Momentive Performance Materials, Friendly, WV, United States",needs added 
0001-0002-1645,"DeltaV-Plant Controls-W.R. GRACE-W.R. Grace and Co, Tyrone, PA, United States",needs added 
0001-0002-1789,"Plant 2 / Oxide-INEOS-Ineos Pigments Usa Inc, Ashtabula, OH, United States",needs added 
0001-0002-1827,"OPAT-PLASKOLITE-Plaskolite, Zanesville, OH, United States",needs added 
0001-0002-2093,"DeltaV DCS-CHEMOURS COMPANY FC LLC THE-Lucite International, Washington, West Virginia, United States",needs added 
0001-0002-2188,"SSP and STORAGE-M & G POLYMERS-M AND G POLYMERS USA LLC, SHARON CENTER, OH, United States",needs added 
0001-0002-2360,"Alarm Panel-CHEMTRADE-Chemtrade Logistics (U.S.), Inc. (Cairo Sulphur Products), Cairo, OH, United States",needs added 
0001-0002-2499,"Asphalt Emulsion-TREMCO-Tremco, Inc., Medina, Ohio, United States",needs added 
0001-0002-2722,"DOP-ARCELOR MITTAL-ARCELOR MITTAL, Cleveland, OH, United States",needs added 
0001-0002-3388,"Training Center - DVOP-COVESTRO-Covestro LLC, New Martinsville, West Virginia, United States",needs added 
0001-0002-3642,"Plant Controls-INEOS-INEOS COMPOSITES, PITTSBURGH, PA, United States",needs added 
0001-0002-3651,"DeltaV-LORD-Lord Chemical, Saegertown, PA, United States",needs added 
0001-0002-3993,"DELTAV-WILEY COMPANIES-Wiley Companies Ohio, Coshocton, OH, United States",needs added 
0001-0002-4037,"Crude Unit-AMERICAN REFINING GROUP-AMERICAN REFINING GROUP, Bradford, Pennsylvania, United States",needs added 
0001-0002-4246,"Nitriles-INEOS-INEOS AMERICAS LLC, LIMA, OH, United States",needs added 
0001-0002-4701,"HVAC Automation System-MELLON BANK-Mellon Bank, Freeport, PA, United States",needs added 
0001-0002-5599,"Estane-LUBRIZOL-Lubrizol Advanced Materials, Avon Lake, OH, United States",needs added 
0001-0002-5698,"Summit Ethanol - Leipsic, OH-POET-POET Biorefining, Leipsic, OH, United States",needs added 
0001-0002-6130,"PLC Replacement-FORT AMANDA SPECIALTIES-Fort Amanda Specialties, Lima, OH, United States",needs added 
0001-0002-6131,"Pilot Plant-SYNTHOMER-SYNTHOMER, MOGADORE, OH, United States",needs added 
0001-0002-6290,"R & D System-MOMENTIVE-Momentive Performance Materials, Friendly, WV, United States",needs added 
0001-0002-6463,"Coater Ready Plant DeltaV-BASF-BASF CORP, MONACA, PA, United States",needs added 
0001-0002-6493,"DeltaV Scada System-USS-USS Corporation, Mon Valley Works - Edgar Thomson Plant, Braddock, PA, United States",needs added 
0001-0002-6627,"Nationwide DeltaV-EXPEDIENT-COLUMBUS CMH3, LEWIS CENTER, OH, United States",needs added 
0001-0002-6670,"Eagle 3-ABBOTT-ABBOTT LABORATORIES INC (ROSS PRODUCTS DIVISION), COLUMBUS, OH, United States",needs added 
0001-0002-6673,"Midland Asphalt Materials Inc-DeltaV Control System-WHITAKER-Whitaker Roads Corporation, Clearfield, PA, United States",needs added 
0001-0002-6682,"Boiler/WWTP Control-MARATHON-Marathon Petroleum LLC, Canton, OH, United States",needs added 
0001-0002-7095,"Weavertown Automation System-WEAVERTOWN-Weavertown Environmental Group d/b/a Advanced Biofuels, Inc., Monaca, PA, United States",needs added 
0001-0002-7154,"Site Logistics System-COVESTRO-Covestro LLC, New Martinsville, West Virginia, United States",needs added 
0001-0002-7356,"GO-Ethanol-GUARDIAN LIMA-Guardian Lima LLC., Lima, OH, United States",needs added 
0001-0002-7582,"Reactor 301/302-ASK CHEMICALS-Ask Chemicals LP, Cleveland, OH, United States",needs added 
0001-0002-7766,"Wickliffe Site DeltaV-LUBRIZOL-Lubrizol, Wickliffe, Ohio, United States",needs added 
0001-0002-8171,"DeltaV Training System-DUQUESNE UNIVERSITY-Duquesne University, Pittsburgh, PA, United States",needs added 
0001-0002-8728,"Urethanes Project-ALLNEX-Allnex, Belmont, WV, United States",needs added 
0001-0002-8905,"Poet Biorefining - Fostoria, OH-POET-Poet Biorefining, Fostoria, OH, United States",needs added 
0001-0002-8988,"DeltaV SIS-SYNTHOMER-Synthomer Jefferson Hills LLC, Jefferson Hills, PA, United States",needs added 
0001-0002-9841,"Mark West Energy - Cobb-MPLX-MPLX ENERGY LOGISTICS G & P, CLENDENIN, WV, United States",needs added 
0001-0002-9967,"DVP - Mt. Storm - Units 1 & 2 DeltaV-DOMINION-Dominion Virginia Power, Mount Storm, WV, United States",needs added 
0001-0003-0243,"Poet Biorefining - Marion-POET-Poet Biorefining, Marion, OH, United States",needs added 
0001-0003-0877,"Vacuum Degasser-UNION ELECTRIC-Union Electric Steel Corporation, Burgettstown, PA, United States",needs added 
0001-0003-0999,"Boiler Control System-BELLEFIELD-BELLEFIELD BOILER PLANT, PITTSBURGH, PA, United States",needs added 
0001-0003-1309,"Biocide Reactor-LUBRIZOL-Lubrizol, Leetsdale, PA, United States",needs added 
0001-0003-1641,"Brush Wellman-MATERION-MATERION CORP, ELMORE, OH, United States",needs added 
0001-0003-1971,"Marion County Brine DeltaV-AOP CLEARWATER-AOP CLEARWATER LLC, FAIRMONT, WV, United States",needs added 
0001-0003-2756,"DeltaV Plantweb Experience Training System-ABBOTT-ABBOTT LABORATORIES INC (ROSS PRODUCTS DIVISION), COLUMBUS, OH, United States",needs added 
0001-0003-2956,"Cyrus River Terminal-ENERGY TRANSFER-Energy Transfer, 3275 Big Sandy River Rd.,, Kenova, WV, United States",needs added 
0001-0003-3115,"Majorsville Processing Plant-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-3211,"DeltaV Development System-USS-USS Corporation, Mon Valley Works - Edgar Thomson Plant, Braddock, PA, United States",needs added 
0001-0003-3212,"Spare System-USS-USS Corporation, Mon Valley Works - Edgar Thomson Plant, Braddock, PA, United States",needs added 
0001-0003-3676,"Line 0 - Brecksville-LUBRIZOL-Lubrizol Advanced Materials, Brecksville, Ohio, United States",needs added 
0001-0003-3740,"Neville Island Tank Monitoring-INEOS-INEOS COMPOSITES, PITTSBURGH, PA, United States",needs added 
0001-0003-3754,"PUD Semi Works-LUBRIZOL-Lubrizol Advanced Materials, Avon Lake, OH, United States",needs added 
0001-0003-3890,"Ashland OH-ARKEMA-Bostik, Inc., Ashland, OH, United States",needs added 
0001-0003-4142,"Oxide Simulation-INEOS-Ineos Pigments Usa Inc, Ashtabula, OH, United States",needs added 
0001-0003-4153,"PlantWeb Experience-AK STEEL-AK Steel Corporation, Butler, Butler, PA, United States",needs added 
0001-0003-4662,"SPU DeltaV System-COVESTRO-Covestro LLC, New Martinsville, West Virginia, United States",needs added 
0001-0003-4824,"Welling Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-4869,"Pilot Plant Project-THE SHERWIN-WILLIAMS COMPANY-THE SHERWIN-WILLIAMS COMPANY, PITTSBURGH, PA, United States",needs added 
0001-0003-6096,"Bldg. 44 DeltaV-CALLERY CHEMICAL-Callery LLC, Evans, PA, United States",needs added 
0001-0003-6420,"S1NAL01-STACK INFRASTRUCTURE-STACK INFRASTRUCTURE, NEW ALBANY, OH, United States",needs added 
0001-0003-6575,"ROVR Pilot Plant-LIBERTY HYDRO-Liberty Hydro Inc., South Charleston, WV, United States",needs added 
0001-0003-6709,"Mobley Gas Plant-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-6723,"WWT & NRU Control-CALUMET-PENRECO-Calumet-Penreco, Karns City, PA, United States",needs added 
0001-0003-6832,"DeltaV-BLUE RACER-Blue Racer Midstream LLC, Proctor, WV, United States",needs added 
0001-0003-6973,"Redd Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7072,"DVP - Mt Storm - Unit 3 DeltaV-DOMINION-Dominion Virginia Power, Mount Storm, WV, United States",needs added 
0001-0003-7160,"DeltaV Control System-ELLWOOD CITY FORGE-Ellwood City Forge, Ellwood City, PA, United States",needs added 
0001-0003-7310,"Sherwood 1-11 Plant, & Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7314,"3 Brothers Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7315,"Smith Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7784,"Baker Compressor Station - PK Controller-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7785,"Fulton Compressor Station - PK Controller-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7786,"Shaw Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7787,"Tupta-Day Compressor Station - PK Controller-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7788,"Godwin Compressor Station - PK Controller-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7789,"Lowry Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7790,"Dryer Compressor Station - PK Controller-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7791,"Hoskin Compressor Station - PK Controller-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7792,"Stewart Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7793,"Brigich Compressor Station - PK Controller-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7794,"Johnston Compressor Station - PK Controller-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0003-7799,"Penn Cryo Plant (XTO Butler)-EXXONMOBIL-Mountain Gathering, LLC (XTO), Renfrew, PA, United States",needs added 
0001-0003-8169,"Pilot Plant Building 421-LUBRIZOL-Lubrizol Advanced Materials, Avon Lake, OH, United States",needs added 
0001-0003-8274,"Cadiz Processing Plant-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0003-8476,"Kensington Cryo Plant-WILLIAMS STRATEGIC SOURCING COMPANY-Williams, Hanoverton, OH, United States",needs added 
0001-0003-8512,"Utica East Ohio Midstream Harrison-WILLIAMS STRATEGIC SOURCING COMPANY-Williams, Harrison Hub, Scio, OH, United States",needs added 
0001-0003-8780,"Surfactants DeltaV / Building 92-SOLVAY-Solvay, Willow Island, WV, United States",needs added 
0001-0003-8890,"Trillith Compressor Station-MPLX-MPLX, EVANS CITY, PA, United States",needs added 
0001-0003-8891,"Lake Compressor Station (South Central)-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0003-8892,"Tri-County Compressor Station (AEP)-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0003-8893,"Humphrey Compressor Station-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0003-8895,"Barnesville Compressor Station-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0003-8896,"Harrison West Compressor Station (South Central)-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0003-8905,"XTO/Exxon DeltaV Training Station-EXXONMOBIL-Mountain Gathering, LLC (XTO), Renfrew, PA, United States",needs added 
0001-0003-9535,"MARKWEST - SENECA-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0003-9764,"BLUESTONE #2-MPLX-MPLX, EVANS CITY, PA, United States",needs added 
0001-0004-0403,"Hopedale Fractionator-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-0764,"Arrowhead Compressor Station I-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-0777,"Utica East Ohio Midstream Leesville-WILLIAMS STRATEGIC SOURCING COMPANY-Williams, Dennison, OH, United States",needs added 
0001-0004-1580,"Royal Oak Compressor Station-MPLX-MPLX, EVANS CITY, PA, United States",needs added 
0001-0004-1581,"Morristown Compressor Station-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-1582,"Carpenter Compressor Station-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0004-1585,"Cadiz Condensate Plant-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-1727,"Re-Refining DeltaV System-HYDRODEC-HYDRODEC OF NORTH AMERICA, Canton, OH, United States",needs added 
0001-0004-1766,"Kensington Cryo Plant-WILLIAMS STRATEGIC SOURCING COMPANY-Williams, Kensington, OH, United States",needs added 
0001-0004-2317,"DeltaV Penta System-PERSTORP-PERSTORP POLYOLS, INC., Toledo, Ohio, United States",needs added 
0001-0004-2765,"Air Separation Unit-INEOS-Ineos Pigments Usa Inc, Ashtabula, OH, United States",needs added 
0001-0004-2767,"Ohio Larew Compressor Station-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-2903,"Tank 1 Area DCS-VITRO-Vitro Architectural Glass, Cochranton, PA, United States",needs added 
0001-0004-3000,"Development System  Standalone Sim-CSD ENGINEERS-CSD Engineers, Carnegie, PA, United States",needs added 
0001-0004-3507,"Galaxy-ENERGY TRANSFER-Energy Transfer, Parker, PA, United States",needs added 
0001-0004-3686,"NEW WATER SYSTEM-PENN STATE UNIVERSITY-PENNSYLVANIA STATE UNIVERSITY, UNIVERSITY PARK, PA, United States",needs added 
0001-0004-3755,"Cibus Ranch DeltaV-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0004-3845,"Morelli Dehy Station-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-3884,"Yoder Compressor Station-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-4164,"Revolution-ENERGY TRANSFER-Energy Transfer, Bulger, PA, United States",needs added 
0001-0004-4261,"CJIS BTC DataCenter-U.S. DEPARTMENT OF JUSTICE-U.S. Department of Justice, Clarksburg, WV, United States",needs added 
0001-0004-4476,"Dispersion Vessel #1-LANXESS-Lanxess Corp, Pittsburgh, PA, United States",needs added 
0001-0004-4550,"Imperial Compressor Station DeltaV-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0004-4570,"Holmes Compressor Station-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-5278,"Cameron Compressor Station-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-5279,"Friendship Compressor Station-MPLX-MPLX, CADIZ, OH, United States",needs added 
0001-0004-5367,"DeltaV Zone 2-PE-1/2 & PE-3-SHELL-Shell Chemical Appalachia Llc, Monaca, PA, United States",needs added 
0001-0004-5576,"UPMC Uptown District Energy DeltaV System-CORDIA-Energy Center Pittsburgh, 1339 Our Way, Pittsburgh, PA, United States",needs added 
0001-0004-5815,"Jefferson Hills-SYNTHOMER-Synthomer Jefferson Hills LLC, Jefferson Hills, PA, United States",needs added 
0001-0004-5940,"HARMON CREEK-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0004-6325,"Down Homes Compressor Station DeltaV-MPLX-MPLX, Canonsburg, PA, United States",needs added 
