Node Name,Type,Model,Description,Serial,Firmware,Version,Status,Redundant,OS Name,OS Service Pack,Bios Version,OEM Type Description,SMS Filter,SMS Type
CIOC-3,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870479,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|8b9d417f-0248-48d2-98ca-6a8ab7bb1b7b,IbsSystemDevice
CIOC-3-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870528,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|a1c0d3ff-75be-42ce-afb5-07663bd5ad9d,IbsSystemDevice
CIOC-4,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870484,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|fd408a7d-dea8-40aa-abd9-c697553b50a7,IbsSystemDevice
CIOC-4-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870525,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|71248d4f-5a65-44df-a4c6-d68a96457f58,IbsSystemDevice
CIOC-5,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870492,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|bfe8513f-d96c-4d4a-a351-bb5a4f38b0b7,IbsSystemDevice
CIOC-5-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160978119,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|ef07f6aa-7c2c-4cd8-8fee-794ccbfa8cf3,IbsSystemDevice
CIOC-6,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870524,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|a079a64c-6053-4118-bb83-35be0a222e56,IbsSystemDevice
CIOC-6-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160870481,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|1d4a6623-8ed8-4391-aa63-284fa4aa6de6,IbsSystemDevice
CIOC-7,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160978065,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|a9815eec-7a46-42de-8fe8-08c025796729,IbsSystemDevice
CIOC-7-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160978083,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|2d4ae693-2318-49cf-b817-a442d2dd7aca,IbsSystemDevice
CIOC-8,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,K193362019,Rev 8.17,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|fd049754-6233-4ac7-803f-5741b9d6432e,IbsSystemDevice
CIOC-8-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P160978022,Rev 8.12,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|0a4e2a3a-2c05-454f-9fea-380fabf9a9c9,IbsSystemDevice
CIOC-9,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P184280546,Rev 8.15,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|d585c858-4b67-4115-959c-daaa38a01e5d,IbsSystemDevice
CIOC-9-partner,CIOC,KL2101X1-BA1,DeltaV CHARM I/O Card,P184278444,Rev 8.15,14.3.1.7383.xr,Supported,Yes,NA,NA,,,CIOC|88c0e094-d850-4d98-b2bb-d32f2b985227,IbsSystemDevice
Unknown,Power Supply,,,mt0000,,,Unclassified,No,NA,NA,,,PowerSupply|2d5960fb-1c3b-4218-a073-486f7b4d5235,IbsSystemDevice
Unknown,Power Supply,VE5008,24/12 Vdc System Power Supply,MT51125178,,,Retired,No,NA,NA,,,PowerSupply|7b0f1344-454c-4504-88ee-b14427b63a33,IbsSystemDevice
Unknown,Power Supply,VE5008,24/12 Vdc System Power Supply,MT61734556,,,Retired,No,NA,NA,,,PowerSupply|96990b86-6fd5-473c-8726-c7c231b4ea8c,IbsSystemDevice
Unknown,Power Supply,VE5008,24/12 Vdc System Power Supply,MT61935115,,,Retired,No,NA,NA,,,PowerSupply|1dfc254f-ef40-41b5-a3b3-1bfd7f7d1a89,IbsSystemDevice
BDG32IDF16PRI_$X,Smart Network Devices,VE6046Px,SMART_SWITCH,943969801060912666,1.30,09.0.15,Supported,No,NA,NA,,,SmartSwitch|a93a7b2a-1575-4afb-9192-0cda55ce7e91,IbsSystemDevice
BDG32IDF16SEC_$X,Smart Network Devices,VE6046Px,SMART_SWITCH,943969801060912658,1.30,09.0.15,Supported,No,NA,NA,,,SmartSwitch|800f1707-a52c-457e-a580-18f28f1b9b80,IbsSystemDevice
BLD27CAB0PRI_$X,Smart Network Devices,,SMART_SWITCH,94343480552A804804,1.31,09.0.12,Unclassified,No,NA,NA,,,SmartSwitch|5852ca97-4198-44e0-8a07-35294550b3ca,IbsSystemDevice
BLD27CAB0SEC_$X,Smart Network Devices,,SMART_SWITCH,94343480552A804811,1.31,09.0.12,Unclassified,No,NA,NA,,,SmartSwitch|da2d0db9-791d-4a77-96bc-cc4f98276c31,IbsSystemDevice
BLD27CAB1PRI_$X,Smart Network Devices,,SMART_SWITCH,943434805438703841,1.31,08.0.13,Unclassified,No,NA,NA,,,SmartSwitch|8e41e085-cf64-403f-9959-05cb6ac1324f,IbsSystemDevice
BLD27CAB1SEC_$X,Smart Network Devices,,SMART_SWITCH,94343480552A804803,1.31,09.0.12,Unclassified,No,NA,NA,,,SmartSwitch|d3aaf535-8d4d-49ef-8479-80eabe9fb25f,IbsSystemDevice
BLD9TFPRI_$X,Smart Network Devices,,SMART_SWITCH,94343480552B205326,1.31,09.0.15,Unclassified,No,NA,NA,,,SmartSwitch|107def54-35b8-46f3-8263-273abcc3ab37,IbsSystemDevice
BLD9TFSEC_$X,Smart Network Devices,,SMART_SWITCH,94343480552B205332,1.31,09.0.15,Unclassified,No,NA,NA,,,SmartSwitch|37ec3d51-c922-49fc-b462-ff886de81b07,IbsSystemDevice
BLDG19CAB0PRI_$X,Smart Network Devices,VE6046Px,SMART_SWITCH,943969801040607909,1.30,04.2.14,Supported,No,NA,NA,,,SmartSwitch|b6e169fb-d7a7-44b0-8217-517a33287fc6,IbsSystemDevice
BLDG19CAB0SEC_$X,Smart Network Devices,VE6046Px,SMART_SWITCH,943969801040607923,1.30,04.2.14,Supported,No,NA,NA,,,SmartSwitch|1425c7c9-855e-4fe7-a36b-f45f677ff8e2,IbsSystemDevice
BLDG32P108PRI_$X,Smart Network Devices,,SMART_SWITCH,94343480552B806099,1.31,09.0.15,Unclassified,No,NA,NA,,,SmartSwitch|c09adc54-a209-4f46-8249-a5a7536948ed,IbsSystemDevice
BLDG32P108SEC_$X,Smart Network Devices,,SMART_SWITCH,94343480552B806102,1.31,09.0.15,Unclassified,No,NA,NA,,,SmartSwitch|bbac6716-73e6-4d04-8b85-90828206b325,IbsSystemDevice
BLDG32P109PRI_$X,Smart Network Devices,,SMART_SWITCH,94343480552B806109,1.31,09.0.15,Unclassified,No,NA,NA,,,SmartSwitch|7493a589-93b6-4992-9aa4-31df6cb7668c,IbsSystemDevice
BLDG32P109SEC_$X,Smart Network Devices,,SMART_SWITCH,94343480552B806110,1.31,09.0.15,Unclassified,No,NA,NA,,,SmartSwitch|13458a56-05ae-49d4-afcf-cb5e469c9630,IbsSystemDevice
